"name_en","name_ar","url","description_en","description_ar"
"David Rumsey Historical Map Collection","مجموعة الخرائط التاريخية لديفيد رامسي","https://www.davidrumsey.com/","",""
"National Library of Australia","المكتبة الوطنية الأسترالية","https://www.library.gov.au/","",""
"National Library of Israel","المكتبة الوطنية الإسرائيلية","https://www.nli.org.il/en","",""
"Hebrew University of Jerusalem","الجامعة العبرية في القدس","https://en.huji.ac.il/","",""
"ESRI","إسري","https://www.arcgis.com/home/item.html?id=10df2279f9684e4a9f6a7f08febac2a9","",""
"OpenStreetMap","خريطة الشارع المفتوحة","https://www.openstreetmap.org/","",""
"Palestine Open Maps","خَرائط فلسطين المَفتوحة","https://palopenmaps.org/","",""
