"name_en","name_ar","url","description_en","description_ar"
"Palestine Exploration Fund","خرائط صندوق استكشاف فلسطين","https://www.pef.org.uk/","",""
"Survey of Palestine","خرائط مَسح فلسطين","https://en.wikipedia.org/wiki/Survey_of_Palestine","",""
"Survey of Israel","خرائط مَسح إسرائيل","https://www.gov.il/en/departments/survey_of_israel/govil-landing-page","",""
"Royal Air Force","السلاح الجوي الملكي","https://www.raf.mod.uk/","",""
"ESRI","إسري","https://www.esri.com/en-us/home","",""
"OpenStreetMap contributors","مُساهمات من OpenStreetMap","https://www.openstreetmap.org/","",""
"Palestine Open Maps community","مُجتمع خَرائط فلسطين المَفتوحة","https://palopenmaps.org/","",""
